5000;5000;0
5500;4500;0
6000;4000;0
3334;3333;3333
3667;3334;2999
4000;3333;2667
10000;10000;0
11000;9000;0
12000;8000;0
6667;6667;6666
7333;6666;6001
8000;6667;5333
15000;15000;0
16500;13500;0
18000;12000;0
10000;10000;10000
11000;10000;9000
12000;10000;8000
20000;20000;0
22000;18000;0
24000;16000;0
13334;13333;13333
14667;13334;11999
16000;13333;10667
25000;25000;0
27500;22500;0
30000;20000;0
16667;16667;16666
18333;16666;15001
20000;16667;13333
30000;30000;0
33000;27000;0
36000;24000;0
20000;20000;20000
22000;20000;18000
24000;20000;16000
35000;35000;0
38500;31500;0
42000;28000;0
23334;23333;23333
25667;23334;20999
28000;23333;18667
40000;40000;0
44000;36000;0
48000;32000;0
26667;26667;26666
29333;26666;24001
32000;26667;21333
45000;45000;0
49500;40500;0
54000;36000;0
30000;30000;30000
33000;30000;27000
36000;30000;24000
50000;50000;0
55000;45000;0
60000;40000;0
33334;33333;33333
36667;33334;29999
40000;33333;26667
