100;100;0;0;0;0;0;0;0;0
120;80;0;0;0;0;0;0;0;0
50;50;50;50;0;0;0;0;0;0
60;53;47;40;0;0;0;0;0;0
35;33;33;33;33;33;0;0;0;0
39;37;35;32;30;27;0;0;0;0
25;25;25;25;25;25;25;25;0;0
30;29;27;26;24;23;21;20;0;0
20;20;20;20;20;20;20;20;20;20
24;23;22;21;20;20;19;18;17;16
120;120;0;0;0;0;0;0;0;0
144;96;0;0;0;0;0;0;0;0
60;60;60;60;0;0;0;0;0;0
72;64;56;48;0;0;0;0;0;0
40;40;40;40;40;40;0;0;0;0
48;45;42;38;35;32;0;0;0;0
30;30;30;30;30;30;30;30;0;0
36;34;33;31;29;27;26;24;0;0
24;24;24;24;24;24;24;24;24;24
29;28;27;26;25;23;22;21;20;19
200;200;0;0;0;0;0;0;0;0
240;160;0;0;0;0;0;0;0;0
100;100;100;100;0;0;0;0;0;0
120;107;93;80;0;0;0;0;0;0
67;67;67;67;67;65;0;0;0;0
81;75;69;64;58;53;0;0;0;0
50;50;50;50;50;50;50;50;0;0
60;57;54;51;49;46;43;40;0;0
40;40;40;40;40;40;40;40;40;40
48;46;44;43;41;39;37;36;34;32
240;240;0;0;0;0;0;0;0;0
288;192;0;0;0;0;0;0;0;0
120;120;120;120;0;0;0;0;0;0
144;128;112;96;0;0;0;0;0;0
80;80;80;80;80;80;0;0;0;0
96;90;83;77;70;64;0;0;0;0
60;60;60;60;60;60;60;60;0;0
72;69;65;62;58;55;51;48;0;0
48;48;48;48;48;48;48;48;48;48
58;56;54;51;49;47;45;42;40;38
300;300;0;0;0;0;0;0;0;0
360;240;0;0;0;0;0;0;0;0
150;150;150;150;0;0;0;0;0;0
180;160;140;120;0;0;0;0;0;0
100;100;100;100;100;100;0;0;0;0
120;112;104;96;88;80;0;0;0;0
75;75;75;75;75;75;75;75;0;0
90;86;81;77;73;69;64;60;0;0
60;60;60;60;60;60;60;60;60;60
72;69;67;64;61;59;56;53;51;48
360;360;0;0;0;0;0;0;0;0
432;288;0;0;0;0;0;0;0;0
180;180;180;180;0;0;0;0;0;0
216;192;168;144;0;0;0;0;0;0
120;120;120;120;120;120;0;0;0;0
144;134;125;115;106;96;0;0;0;0
90;90;90;90;90;90;90;90;0;0
108;103;98;93;87;82;77;72;0;0
72;72;72;72;72;72;72;72;72;72
86;83;80;77;74;70;67;64;61;58
400;400;0;0;0;0;0;0;0;0
480;320;0;0;0;0;0;0;0;0
200;200;200;200;0;0;0;0;0;0
240;213;187;160;0;0;0;0;0;0
135;133;133;133;133;133;0;0;0;0
159;149;139;128;118;107;0;0;0;0
100;100;100;100;100;100;100;100;0;0
120;114;109;103;97;91;86;80;0;0
80;80;80;80;80;80;80;80;80;80
96;92;89;85;82;78;75;71;68;64
480;480;0;0;0;0;0;0;0;0
576;384;0;0;0;0;0;0;0;0
240;240;240;240;0;0;0;0;0;0
288;256;224;192;0;0;0;0;0;0
160;160;160;160;160;160;0;0;0;0
192;179;166;154;141;128;0;0;0;0
120;120;120;120;120;120;120;120;0;0
144;137;130;123;117;110;103;96;0;0
96;96;96;96;96;96;96;96;96;96
115;111;107;102;98;94;90;85;81;77
500;500;0;0;0;0;0;0;0;0
600;400;0;0;0;0;0;0;0;0
250;250;250;250;0;0;0;0;0;0
300;267;233;200;0;0;0;0;0;0
167;167;167;167;167;165;0;0;0;0
201;187;173;160;146;133;0;0;0;0
125;125;125;125;125;125;125;125;0;0
150;143;136;129;121;114;107;100;0;0
100;100;100;100;100;100;100;100;100;100
120;116;111;107;102;98;93;89;84;80
600;600;0;0;0;0;0;0;0;0
720;480;0;0;0;0;0;0;0;0
300;300;300;300;0;0;0;0;0;0
360;320;280;240;0;0;0;0;0;0
200;200;200;200;200;200;0;0;0;0
240;224;208;192;176;160;0;0;0;0
150;150;150;150;150;150;150;150;0;0
180;171;163;154;146;137;129;120;0;0
120;120;120;120;120;120;120;120;120;120
144;139;133;128;123;117;112;107;101;96
