500;500;0;0
550;450;0;0
600;400;0;0
334;333;333;0
367;334;299;0
400;333;267;0
250;250;250;250
275;258;241;226
300;267;234;199
525;525;0;0
578;472;0;0
630;420;0;0
350;350;350;0
385;350;315;0
420;350;280;0
264;262;262;262
289;271;253;237
315;280;245;210
550;550;0;0
605;495;0;0
660;440;0;0
367;367;366;0
403;366;331;0
440;367;293;0
275;275;275;275
302;284;266;248
330;293;256;221
575;575;0;0
632;518;0;0
690;460;0;0
384;383;383;0
422;384;344;0
460;383;307;0
288;288;288;286
316;297;278;259
345;307;269;229
600;600;0;0
660;540;0;0
720;480;0;0
400;400;400;0
440;400;360;0
480;400;320;0
300;300;300;300
330;310;290;270
360;320;280;240
