10000;10000;0;0;0;0;0;0;0;0
12000;8000;0;0;0;0;0;0;0;0
5000;5000;5000;5000;0;0;0;0;0;0
6000;5333;4667;4000;0;0;0;0;0;0
3335;3333;3333;3333;3333;3333;0;0;0;0
3999;3733;3467;3200;2934;2667;0;0;0;0
2500;2500;2500;2500;2500;2500;2500;2500;0;0
3000;2857;2714;2571;2429;2286;2143;2000;0;0
2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
2400;2311;2222;2133;2044;1956;1867;1778;1689;1600
12000;12000;0;0;0;0;0;0;0;0
14400;9600;0;0;0;0;0;0;0;0
6000;6000;6000;6000;0;0;0;0;0;0
7200;6400;5600;4800;0;0;0;0;0;0
4000;4000;4000;4000;4000;4000;0;0;0;0
4800;4480;4160;3840;3520;3200;0;0;0;0
3000;3000;3000;3000;3000;3000;3000;3000;0;0
3600;3429;3257;3086;2914;2743;2571;2400;0;0
2400;2400;2400;2400;2400;2400;2400;2400;2400;2400
2880;2773;2667;2560;2453;2347;2240;2133;2027;1920
20000;20000;0;0;0;0;0;0;0;0
24000;16000;0;0;0;0;0;0;0;0
10000;10000;10000;10000;0;0;0;0;0;0
12000;10667;9333;8000;0;0;0;0;0;0
6667;6667;6667;6667;6667;6665;0;0;0;0
8001;7467;6933;6400;5866;5333;0;0;0;0
5000;5000;5000;5000;5000;5000;5000;5000;0;0
6000;5714;5429;5143;4857;4571;4286;4000;0;0
4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
4800;4622;4444;4267;4089;3911;3733;3556;3378;3200
24000;24000;0;0;0;0;0;0;0;0
28800;19200;0;0;0;0;0;0;0;0
12000;12000;12000;12000;0;0;0;0;0;0
14400;12800;11200;9600;0;0;0;0;0;0
8000;8000;8000;8000;8000;8000;0;0;0;0
9600;8960;8320;7680;7040;6400;0;0;0;0
6000;6000;6000;6000;6000;6000;6000;6000;0;0
7200;6857;6514;6171;5829;5486;5143;4800;0;0
4800;4800;4800;4800;4800;4800;4800;4800;4800;4800
5760;5547;5333;5120;4907;4693;4480;4267;4053;3840
30000;30000;0;0;0;0;0;0;0;0
36000;24000;0;0;0;0;0;0;0;0
15000;15000;15000;15000;0;0;0;0;0;0
18000;16000;14000;12000;0;0;0;0;0;0
10000;10000;10000;10000;10000;10000;0;0;0;0
12000;11200;10400;9600;8800;8000;0;0;0;0
7500;7500;7500;7500;7500;7500;7500;7500;0;0
9000;8571;8143;7714;7286;6857;6429;6000;0;0
6000;6000;6000;6000;6000;6000;6000;6000;6000;6000
7200;6933;6667;6400;6133;5867;5600;5333;5067;4800
36000;36000;0;0;0;0;0;0;0;0
43200;28800;0;0;0;0;0;0;0;0
18000;18000;18000;18000;0;0;0;0;0;0
21600;19200;16800;14400;0;0;0;0;0;0
12000;12000;12000;12000;12000;12000;0;0;0;0
14400;13440;12480;11520;10560;9600;0;0;0;0
9000;9000;9000;9000;9000;9000;9000;9000;0;0
10800;10286;9771;9257;8743;8229;7714;7200;0;0
7200;7200;7200;7200;7200;7200;7200;7200;7200;7200
8640;8320;8000;7680;7360;7040;6720;6400;6080;5760
40000;40000;0;0;0;0;0;0;0;0
48000;32000;0;0;0;0;0;0;0;0
20000;20000;20000;20000;0;0;0;0;0;0
24000;21333;18667;16000;0;0;0;0;0;0
13335;13333;13333;13333;13333;13333;0;0;0;0
15999;14933;13867;12800;11734;10667;0;0;0;0
10000;10000;10000;10000;10000;10000;10000;10000;0;0
12000;11429;10857;10286;9714;9143;8571;8000;0;0
8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
9600;9244;8889;8533;8178;7822;7467;7111;6756;6400
48000;48000;0;0;0;0;0;0;0;0
57600;38400;0;0;0;0;0;0;0;0
24000;24000;24000;24000;0;0;0;0;0;0
28800;25600;22400;19200;0;0;0;0;0;0
16000;16000;16000;16000;16000;16000;0;0;0;0
19200;17920;16640;15360;14080;12800;0;0;0;0
12000;12000;12000;12000;12000;12000;12000;12000;0;0
14400;13714;13029;12343;11657;10971;10286;9600;0;0
9600;9600;9600;9600;9600;9600;9600;9600;9600;9600
11520;11093;10667;10240;9813;9387;8960;8533;8107;7680
50000;50000;0;0;0;0;0;0;0;0
60000;40000;0;0;0;0;0;0;0;0
25000;25000;25000;25000;0;0;0;0;0;0
30000;26667;23333;20000;0;0;0;0;0;0
16667;16667;16667;16667;16667;16665;0;0;0;0
20001;18667;17333;16000;14666;13333;0;0;0;0
12500;12500;12500;12500;12500;12500;12500;12500;0;0
15000;14286;13571;12857;12143;11429;10714;10000;0;0
10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
12000;11556;11111;10667;10222;9778;9333;8889;8444;8000
60000;60000;0;0;0;0;0;0;0;0
72000;48000;0;0;0;0;0;0;0;0
30000;30000;30000;30000;0;0;0;0;0;0
36000;32000;28000;24000;0;0;0;0;0;0
20000;20000;20000;20000;20000;20000;0;0;0;0
24000;22400;20800;19200;17600;16000;0;0;0;0
15000;15000;15000;15000;15000;15000;15000;15000;0;0
18000;17143;16286;15429;14571;13714;12857;12000;0;0
12000;12000;12000;12000;12000;12000;12000;12000;12000;12000
14400;13867;13333;12800;12267;11733;11200;10667;10133;9600
