50;50;0;0;0;0
34;33;33;0;0;0
25;25;25;25;0;0
100;100;0;0;0;0
67;67;66;0;0;0
50;50;50;50;0;0
150;150;0;0;0;0
100;100;100;0;0;0
75;75;75;75;0;0
200;200;0;0;0;0
134;133;133;0;0;0
100;100;100;100;0;0
250;250;0;0;0;0
167;167;166;0;0;0
125;125;125;125;0;0
300;300;0;0;0;0
200;200;200;0;0;0
150;150;150;150;0;0
350;350;0;0;0;0
234;233;233;0;0;0
175;175;175;175;0;0
400;400;0;0;0;0
267;267;266;0;0;0
200;200;200;200;0;0
450;450;0;0;0;0
300;300;300;0;0;0
225;225;225;225;0;0
500;500;0;0;0;0
334;333;333;0;0;0
250;250;250;250;0;0
