500;500;0;0
600;400;0;0
700;300;0;0
334;333;333;0
400;333;267;0
467;334;199;0
250;250;250;250
300;267;234;199
350;283;216;151
600;600;0;0
720;480;0;0
840;360;0;0
400;400;400;0
480;400;320;0
560;400;240;0
300;300;300;300
360;320;280;240
420;340;260;180
1000;1000;0;0
1200;800;0;0
1400;600;0;0
667;667;666;0
800;667;533;0
933;666;401;0
500;500;500;500
600;533;466;401
700;567;434;299
1200;1200;0;0
1440;960;0;0
1680;720;0;0
800;800;800;0
960;800;640;0
1120;800;480;0
600;600;600;600
720;640;560;480
840;680;520;360
1500;1500;0;0
1800;1200;0;0
2100;900;0;0
1000;1000;1000;0
1200;1000;800;0
1400;1000;600;0
750;750;750;750
900;800;700;600
1050;850;650;450
1800;1800;0;0
2160;1440;0;0
2520;1080;0;0
1200;1200;1200;0
1440;1200;960;0
1680;1200;720;0
900;900;900;900
1080;960;840;720
1260;1020;780;540
2000;2000;0;0
2400;1600;0;0
2800;1200;0;0
1334;1333;1333;0
1600;1333;1067;0
1867;1334;799;0
1000;1000;1000;1000
1200;1067;934;799
1400;1133;866;601
2400;2400;0;0
2880;1920;0;0
3360;1440;0;0
1600;1600;1600;0
1920;1600;1280;0
2240;1600;960;0
1200;1200;1200;1200
1440;1280;1120;960
1680;1360;1040;720
2500;2500;0;0
3000;2000;0;0
3500;1500;0;0
1667;1667;1666;0
2000;1667;1333;0
2333;1666;1001;0
1250;1250;1250;1250
1500;1333;1166;1001
1750;1417;1084;749
3000;3000;0;0
3600;2400;0;0
4200;1800;0;0
2000;2000;2000;0
2400;2000;1600;0
2800;2000;1200;0
1500;1500;1500;1500
1800;1600;1400;1200
2100;1700;1300;900
3000;3000;0;0
3600;2400;0;0
4200;1800;0;0
2000;2000;2000;0
2400;2000;1600;0
2800;2000;1200;0
1500;1500;1500;1500
1800;1600;1400;1200
2100;1700;1300;900
3600;3600;0;0
4320;2880;0;0
5040;2160;0;0
2400;2400;2400;0
2880;2400;1920;0
3360;2400;1440;0
1800;1800;1800;1800
2160;1920;1680;1440
2520;2040;1560;1080
3500;3500;0;0
4200;2800;0;0
4900;2100;0;0
2334;2333;2333;0
2800;2333;1867;0
3267;2334;1399;0
1750;1750;1750;1750
2100;1867;1634;1399
2450;1983;1516;1051
4200;4200;0;0
5040;3360;0;0
5880;2520;0;0
2800;2800;2800;0
3360;2800;2240;0
3920;2800;1680;0
2100;2100;2100;2100
2520;2240;1960;1680
2940;2380;1820;1260
4000;4000;0;0
4800;3200;0;0
5600;2400;0;0
2667;2667;2666;0
3200;2667;2133;0
3733;2666;1601;0
2000;2000;2000;2000
2400;2133;1866;1601
2800;2267;1734;1199
4800;4800;0;0
5760;3840;0;0
6720;2880;0;0
3200;3200;3200;0
3840;3200;2560;0
4480;3200;1920;0
2400;2400;2400;2400
2880;2560;2240;1920
3360;2720;2080;1440
4500;4500;0;0
5400;3600;0;0
6300;2700;0;0
3000;3000;3000;0
3600;3000;2400;0
4200;3000;1800;0
2250;2250;2250;2250
2700;2400;2100;1800
3150;2550;1950;1350
5400;5400;0;0
6480;4320;0;0
7560;3240;0;0
3600;3600;3600;0
4320;3600;2880;0
5040;3600;2160;0
2700;2700;2700;2700
3240;2880;2520;2160
3780;3060;2340;1620
5000;5000;0;0
6000;4000;0;0
7000;3000;0;0
3334;3333;3333;0
4000;3333;2667;0
4667;3334;1999;0
2500;2500;2500;2500
3000;2667;2334;1999
3500;2833;2166;1501
6000;6000;0;0
7200;4800;0;0
8400;3600;0;0
4000;4000;4000;0
4800;4000;3200;0
5600;4000;2400;0
3000;3000;3000;3000
3600;3200;2800;2400
4200;3400;2600;1800
