500;500;0
550;450;0
600;400;0
334;333;333
367;334;299
400;333;267
600;600;0
660;540;0
720;480;0
400;400;400
440;400;360
480;400;320
1000;1000;0
1100;900;0
1200;800;0
667;667;666
733;666;601
800;667;533
1200;1200;0
1320;1080;0
1440;960;0
800;800;800
880;800;720
960;800;640
1500;1500;0
1650;1350;0
1800;1200;0
1000;1000;1000
1100;1000;900
1200;1000;800
1800;1800;0
1980;1620;0
2160;1440;0
1200;1200;1200
1320;1200;1080
1440;1200;960
2000;2000;0
2200;1800;0
2400;1600;0
1334;1333;1333
1467;1334;1199
1600;1333;1067
2400;2400;0
2640;2160;0
2880;1920;0
1600;1600;1600
1760;1600;1440
1920;1600;1280
2500;2500;0
2750;2250;0
3000;2000;0
1667;1667;1666
1833;1666;1501
2000;1667;1333
3000;3000;0
3300;2700;0
3600;2400;0
2000;2000;2000
2200;2000;1800
2400;2000;1600
3000;3000;0
3300;2700;0
3600;2400;0
2000;2000;2000
2200;2000;1800
2400;2000;1600
3600;3600;0
3960;3240;0
4320;2880;0
2400;2400;2400
2640;2400;2160
2880;2400;1920
3500;3500;0
3850;3150;0
4200;2800;0
2334;2333;2333
2567;2334;2099
2800;2333;1867
4200;4200;0
4620;3780;0
5040;3360;0
2800;2800;2800
3080;2800;2520
3360;2800;2240
4000;4000;0
4400;3600;0
4800;3200;0
2667;2667;2666
2933;2666;2401
3200;2667;2133
4800;4800;0
5280;4320;0
5760;3840;0
3200;3200;3200
3520;3200;2880
3840;3200;2560
4500;4500;0
4950;4050;0
5400;3600;0
3000;3000;3000
3300;3000;2700
3600;3000;2400
5400;5400;0
5940;4860;0
6480;4320;0
3600;3600;3600
3960;3600;3240
4320;3600;2880
5000;5000;0
5500;4500;0
6000;4000;0
3334;3333;3333
3667;3334;2999
4000;3333;2667
6000;6000;0
6600;5400;0
7200;4800;0
4000;4000;4000
4400;4000;3600
4800;4000;3200
