wareh,capacity,QMK,CHISOL,CHI,KLINK,GP,GS,BS,RND
2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
3.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
4.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
3.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
4.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
2.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0
3.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0
4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0
2.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0
3.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0
4.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0
2.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0
3.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0
4.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0
2.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,0.0,0.0
3.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,0.0,0.0
4.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,0.0,0.0
2.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0
3.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0
4.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0
2.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,0.0,0.0
3.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,0.0,0.0
4.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,0.0,0.0
2.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,0.0
3.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,0.0
4.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,0.0
2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
3.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
4.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
